"Source:","E:\Wels Theory\Electrónica\Pic18f4550\Placa_PIC18F4550\Placa_PIC18F4550\Placa_PIC18F4550.sch"
"Date:","26/01/2019 20:28:33"
"Tool:","Eeschema (5.0.0)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","32"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","47uF","C","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Unpolarized capacitor",""
"C2, C3, ","2","15pF","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C4, ","1","100nF","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C5, ","1","220uF","C","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","Unpolarized capacitor",""
"D2, D3, ","2","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35",""
"D4, D1, ","2","LED","LED","LED_THT:LED_D5.0mm","LED generic",""
"J1, ","1","PORTD","Conn_01x08_Female","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","PORTA","Conn_01x07_Female","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","PORTE","Conn_01x03_Female","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","PORTB","Conn_01x08_Female","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","PORTC","Conn_01x07_Female","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","GND","Conn_01x03_Female","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","Vol","Conn_01x03_Female","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J8, ","1","Volt","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J9, ","1","Barrel_Jack_Switch","Barrel_Jack_Switch","Connector_Audio:Jack_Horizontal","DC Barrel Jack with an internal switch",""
"J10, ","1","USB_B","USB_B","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal","USB Type B connector",""
"J11, ","1","PICKIT","Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","2N3906","2N3906","Package_TO_SOT_THT:TO-92_Inline","-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",""
"R1, R6, R3, ","3","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R2, ","1","330","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R5, R4, ","2","5.6K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R7, ","1","470","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"SW1, ","1","SW_Push","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins",""
"U1, ","1","PIC18F4550-IP","PIC18F4550-IP","Package_DIP:DIP-40_W15.24mm","32K Flash, 2K SRAM, 256 EEPROM, USB, nanoWatt XLP, DIP40",""
"U2, ","1","L7805","L7805","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",""
"Y1, ","1","20MHz","Crystal","Crystal:Crystal_HC50_Vertical","Two pin crystal",""
